title,link,content_excerpt,direct_classification,direct_reason,direct_confidence,indirect_classification,indirect_reason,indirect_confidence,final_label,final_reason
2025 KBO 정규시즌 경기 일정,https://gall.dcinside.com/board/view/?id=baseball_new11&no=16024898&page=1,내용 없음...,일반글,직접적인 욕설 없음,1.00,일반글,게시글 내용이 없어 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악할 수 없습니다.,1.00,일반글,직접 욕설 및 간접 비방 모두 아님
보수가 부활할려면 연예인들 욕하는 애들부터 숙청시키는거다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439946&page=1,그게 지지율 올리는 유일한 길이다 팬들이 니들 뽑아주겠냐 기분 나빠서 국힘 안 뽑음 ㅋㅋㅋㅋㅋㅋ - dc official App......,일반글,직접적인 욕설 없음,1.00,간접 비방,"국민의힘 지지율 하락 원인을 '연예인 욕하는 애들' 탓으로 돌리고, 팬들이 기분 나빠서 국힘을 안 뽑는다는 표현을 통해 특정 집단을 비난하고 조롱하고 있다.",0.80,간접 비방,"2차 확정: 국민의힘 지지율 하락 원인을 '연예인 욕하는 애들' 탓으로 돌리고, 팬들이 기분 나빠서 국힘을 안 뽑는다는 표현을 통해 특정 집단을 비난하고 조롱하고 있다."
요도상납견들 지딴에 ‘소신투표‘ 했다고 생각하는게 걍 ㄹㅇ웃음벨ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439945&page=1,ㅋㅋ - dc official App......,욕설 사용,견,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 견
국힘 해산 및 창당은 확실하네 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439944&page=1,"이미 인식은 좆대로 나빠졌고, 윤두창이랑 사법부 정치편향으로 위헌정당 판결 날판이네 ㅋㅋ 수고했다 대한민국 이제부터는 중국 한반도 자치구 조선인민공화국 관리 제2 구역......",욕설 사용,내용에 '좆'이 포함되어 있습니다.,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 내용에 '좆'이 포함되어 있습니다.
과반못넘어서 권력잔인하게 쓰다 먹힌다 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439943&page=1,ㅋㅋ......,일반글,직접적인 욕설 없음,1.00,간접 비방,"과반수를 넘지 못한 특정 세력이 권력을 잔인하게 사용하다가 몰락할 것이라는 내용을 담고 있어, 특정 대상을 조롱하고 희화화하려는 의도가 있다고 판단됨",0.85,간접 비방,"2차 확정: 과반수를 넘지 못한 특정 세력이 권력을 잔인하게 사용하다가 몰락할 것이라는 내용을 담고 있어, 특정 대상을 조롱하고 희화화하려는 의도가 있다고 판단됨"
진지하게 좆된건 10대아닐까,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439942&page=1,이대남은 즈그들 부모재산이나 받겠지만 10대들은 어쩌노 ㄹㅇ - dc official App......,욕설 사용,제목에 '좆'이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆'이 사용됨
이대남인데 하나 확실히 알았음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439941&page=1,"이대남편 당은 없고, 이대남편드는 정치인 따라 투표하면서 회색지대 중도층으로 사는게 도움된다는거 원래 당연한거지만, 종교적으로 따라가는 정치가 대부분이라 중도로는 존재감 어필이 안된다고 생각해서 2찍하던건데 결국 2찍해도 뭐가 생기지 않음 심지어 국힘은 뭐가생기지도않는데 무능하고 급발진이 심해서 최악임 회색분자로 산다......",일반글,직접적인 욕설 없음,1.00,간접 비방,"국민의힘을 '무능하고 급발진이 심해서 최악'이라고 표현하며, 2찍(특정 정당 지지층을 비하하는 은어)을 언급하여 간접적으로 정치 집단을 비방하고 있다.",0.80,간접 비방,"2차 확정: 국민의힘을 '무능하고 급발진이 심해서 최악'이라고 표현하며, 2찍(특정 정당 지지층을 비하하는 은어)을 언급하여 간접적으로 정치 집단을 비방하고 있다."
틀구이식 자아분열.txt,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439939&page=1,한줌 이대남 뒤져라~ vs 이대남들이 4찍하지 않았으면 이겼는데 씨발 이준석 꺼져라~ vs 싸가지없는새끼 단일화를 안해?......,욕설 사용,씨발,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 씨발
70대빼고 모든세대에서 다쳐발렸는데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439938&page=1,그러면 자기들 선택지가 틀린걸 인정해야하는데 병신들이 이대남탓함ㅋㅋㅋ 저래놓고 몇달뒤 나경원 윤상현 쳐밀고 있을거임 - dc official App......,욕설 사용,병신,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 병신
이대남 한테 표달라 하지마라,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439937&page=1,한줌단이라면서 필요없다 하긴 하더만 ㅋㅋㅋ......,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 성별 집단(이대남)을 '한줌단'이라는 멸칭으로 지칭하며 조롱하고, 그들의 표가 필요없다는 주장을 비꼬는 표현을 사용하고 있다.",0.85,간접 비방,"2차 확정: 특정 성별 집단(이대남)을 '한줌단'이라는 멸칭으로 지칭하며 조롱하고, 그들의 표가 필요없다는 주장을 비꼬는 표현을 사용하고 있다."
국민의 힘은 내란 때문에 해산될 거 같은데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439936&page=1,ㄹㅇ......,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
